Country	Telephone	e-mail	Markets	Company	Count (1 if on map)		
Australia			Industrial	CAPS	1		
Austria			WWTP & Industrial	German Gulf Pneumatics	1		
Bahrain			WWTP & Industrial	TPS	1		
Bangladesh			WWTP	AL KASHIF GROUP	NOT INCLUDE		
Bulgaria			WWTP	Michos	1		
Cyprus			WWTP	Michos	NOT INCLUDE		
Denmark	+45 4027 7298		WWTP & Industrial	GL-TURBO International	1		
Egypt			WWTP	Scientech	1		
Germany			WWTP & Industrial	German Gulf Pneumatics	1		
Greece			WWTP	Michos	1		
Hong Kong			WWTP	Ascentic Ltd	1		
Hungary*			WWTP & Industrial	Ebeplan	1		
India			WWTP & Industrial	Godrej & Boyce	1		
Indonesia			WWTP & Industrial	Airofluid 	1		
Iran			WWTP & Industrial	Novapart	1		
Israel			WWTP & Industrial	Balass Brothers	1		
Italy			WWTP	WA.S.T.E	1		
Kazakhstan			WWTP & Industrial	L-start	1		
Kuwait			WWTP	Water prise	1		
Lithuania			WWTP & Industrial	Hidora	1		
Malaysia			WWTP & Industrial	Airofluid 	1		
Oman			WWTP	Water prise	NOT INCLUDE		
Philippines				?	1		
Poland			WWTP & Industrial	DWE Polska	1		
Qatar			WWTP & Industrial	TPS	1		
Romania*				S.C. Waterengineering	1		
Russia			WWTP & Industrial	L-Start	1		
Saudi Arabia			WWTP & Industrial	TPS	1		
Singapore			WWTP & Industrial	Airofluid 	1		
South Africa			WWTP	PHC Projects	1		
South Korea				?	1		
Spain			WWTP	Iberospec	1		
Switzerland			WWTP & Industrial	German Gulf Pneumatics	1		
Taiwan			WWTP & Industrial	Phamland Ltd.	1		
Thailand			WWTP & Industrial	Airofluid 	1		
Turkey			WWTP	ETA Ewkipman Teknoloji 	1		
UAE			WWTP	Water prise	1		
United Kingdom				?	1		John Richards works for us there
Vietnam			WWTP	WSC	1		
China			WWTP	Jiangsu GL-TURBO Corp.			
Americas			WWTP & Industrial	Lone Star Blower			
			Total # covered by MC		36		not counting US and China/Hong Kong only count once
			Total # covered by MC & LSB		69		
							
*countries added in Nov 2017							
